Date,Open,High,Low,Close,Adj Close,Volume,BB_U_50,BB_L_50,SMAV_50,EMAV_50,MACD,Signal,RSI,%K,%D,action
2018-05-07,245.19000244140625,246.19000244140625,244.4600067138672,245.1699981689453,221.2226104736328,3127200,,,,221.2226104736328,0.0,0.0,,,,
2018-05-08,244.8300018310547,245.52999877929688,243.57000732421875,245.16000366210938,221.21356201171875,1924500,,,,221.22225563198913,-0.0007218146256207092,-0.00014436292512414186,,,,
2018-05-09,245.86000061035156,247.89999389648438,245.36000061035156,247.5399932861328,223.36109924316406,1506200,,,,221.3061318520352,0.17003439824310362,0.03389138930852141,,,,
2018-05-10,248.36000061035156,250.1999969482422,248.25,249.86000061035156,225.45452880859375,1537600,,,,221.46881408562575,0.4688772722543888,0.1208885658976949,,,,
2018-05-11,250.0399932861328,250.9199981689453,249.47999572753906,250.47000122070312,226.0049285888672,1703500,,,,221.64670092889014,0.7415766315470762,0.24502617902757115,,,,
2018-05-14,251.1199951171875,251.75999450683594,250.2100067138672,250.75,226.25758361816406,1478200,,,,221.82751985788127,0.9669337771300377,0.38940769864806446,,,,
2018-05-15,249.5,249.52000427246094,248.05999755859375,249.02999877929688,224.7056121826172,2600600,,,,221.9403862235572,1.0086724658237358,0.5132606520831987,,,,
2018-05-16,249.0800018310547,250.5399932861328,249.07000732421875,250.08999633789062,225.66201782226562,2588700,,,,222.08633256076146,1.1061733417143955,0.6318431900094381,,,,
2018-05-17,249.7899932861328,250.99000549316406,249.0800018310547,249.8800048828125,225.47254943847656,1714200,,,,222.2191253794954,1.15484266580836,0.7364430851692225,,,,
2018-05-18,249.52999877929688,249.85000610351562,248.88999938964844,249.25999450683594,224.9130859375,1702800,,,,222.32477089157402,1.1351837354244765,0.8161912152202734,,,,
2018-05-21,250.77000427246094,251.67999267578125,250.42999267578125,251.08999633789062,226.5643768310547,1262900,,,,222.49102994802425,1.238571781641781,0.900667328504575,,,,
2018-05-22,251.6699981689453,251.94000244140625,250.10000610351562,250.3699951171875,225.9146728515625,1055400,,,,222.62529045404537,1.2536307963352442,0.9712600220707088,,,,
2018-05-23,249.1199951171875,251.14999389648438,248.9499969482422,251.14999389648438,226.6185302734375,1484100,,,,222.78188809402153,1.3072909492351528,1.0384662075035977,,,,
2018-05-24,250.74000549316406,251.0,248.75999450683594,250.6699981689453,226.18539428710938,2025300,,,,222.91535892512303,1.2998823185609183,1.090749429715062,71.12116382943628,-207.70159114442808,,
2018-05-25,250.0399932861328,250.63999938964844,249.49000549316406,250.0399932861328,225.61692810058594,1654700,,,,223.0213028143569,1.2339166321440587,1.1193828702008612,67.83866619755301,-214.49330581766742,,
2018-05-29,248.27999877929688,249.0800018310547,245.97000122070312,247.14999389648438,223.00924682617188,4465800,,,,223.0208300305065,0.9601522276517471,1.0875367416910384,56.01953964194373,-339.6770146581731,-253.9573038734229,
2018-05-30,248.52999877929688,250.8800048828125,248.42999267578125,250.41000366210938,225.95077514648438,1359700,,,,223.1357298389762,0.9693743724459125,1.0639042678420132,58.242410408582515,-335.3303514376997,-296.50022397118005,
2018-05-31,249.99000549316406,250.3000030517578,248.27999877929688,248.7899932861328,224.489013671875,2378800,,,,223.18879979320752,0.8489449452081601,1.0209124033152426,46.79822049146982,-359.81546325878594,-344.9409431182196,
2018-06-01,250.22999572753906,251.64999389648438,250.1699981689453,251.41000366210938,226.8531494140625,1953900,,,,223.3324997783391,0.9335088440971617,1.0034316914716264,52.51078813697885,-320.21520766773165,-338.45367412140575,
2018-06-04,252.1699981689453,252.8000030517578,251.9600067138672,252.52000427246094,227.8546905517578,2031500,,,,223.50984059298298,1.0690193531386,1.016549223805021,54.526841521622174,-265.23141745846283,-315.08736279499345,
2018-06-05,252.66000366210938,253.1300048828125,251.8699951171875,252.8699951171875,228.17050170898438,1491200,,,,223.6926116171399,1.1881989114753253,1.050879161339082,60.56095004134618,-248.59623474654651,-278.014286624247,
2018-06-06,253.3699951171875,254.9600067138672,252.72000122070312,254.88999938964844,229.9932403564453,2763200,,,,223.93969509711266,1.4134361337704888,1.1233905558253634,62.53930529356935,-177.71691993299038,-230.51485737933328,
2018-06-07,255.3699951171875,255.6999969482422,253.8800048828125,254.77000427246094,229.8849334716797,2615900,,,,224.17284170003686,1.5651566432367474,1.2117437733076404,62.834590590896255,-165.31423239475274,-197.2091290247632,
2018-06-08,254.36000061035156,255.6199951171875,254.19000244140625,255.57000732421875,230.60675048828125,1517500,,,,224.42515184859548,1.723770289946458,1.314149076635404,66.40657564506853,-157.895760313017,-166.97563754692,
2018-06-11,255.7899932861328,256.6700134277344,255.6999969482422,255.89999389648438,230.90455627441406,2648000,,,,224.67924613980406,1.8521527221319616,1.4217498057347155,63.56450960643379,-140.79839027089312,-154.66946099288762,
2018-06-12,256.3900146484375,256.6300048828125,255.60000610351562,256.3299865722656,231.2925262451172,1182200,,,,224.9385904576595,1.9625792666965651,1.5299156979270856,67.0871347246369,-137.17250683079592,-145.28888580490204,
2018-06-13,256.5299987792969,256.7699890136719,255.22999572753906,255.30999755859375,230.37216186523438,2507800,,,,225.1516716893291,1.9533108337955696,1.6145947251007824,61.76461023433764,-144.42460171689828,-140.79849960619575,
2018-06-14,256.30999755859375,256.6199951171875,255.4600067138672,256.04998779296875,231.03988647460938,1913800,,,,225.3825820730656,1.9770550693498308,1.6870867939505922,64.99442912164875,-138.2419594567865,-139.94635600149357,
2018-06-15,255.27000427246094,256.07000732421875,254.1300048828125,255.8300018310547,230.8413848876953,2000100,,,,225.59665277167855,1.95729267637671,1.7411279704358158,66.51460311702945,-140.07993919083114,-140.91550012150532,
2018-06-18,254.17999267578125,255.36000061035156,253.7100067138672,255.22000122070312,230.2909393310547,2015800,,,,225.7807424406737,1.8755938035588713,1.768021137060427,76.45876880256819,-211.88551401869157,-163.40247088876973,
2018-06-19,252.8300018310547,254.4600067138672,252.4199981689453,254.25,229.41566467285156,1863300,,,,225.92328841056303,1.7203879469525418,1.75849449903885,64.81456593305506,-222.19500359453633,-191.38681893468637,
2018-06-20,254.97000122070312,255.3699951171875,254.32000732421875,254.7100067138672,229.830810546875,1578200,,,,226.07652457277135,1.61229940597849,1.7292554804267781,75.08455144740613,-308.16993690713167,-247.41681817345318,
2018-06-21,254.66000366210938,254.6699981689453,252.5800018310547,253.1199951171875,228.3960418701172,4037600,,,,226.16748603541237,1.3947863879129727,1.6623616619240171,57.93814659605303,-479.0608670739834,-336.4752691918838,
2018-06-22,254.39999389648438,254.52000427246094,253.32000732421875,253.57000732421875,228.80215454101562,3092000,,,,226.27080636896545,1.2408716564756048,1.5780636608343348,55.19284260317024,-470.7728430584879,-419.334549013201,
2018-06-25,252.3699951171875,252.50999450683594,248.35000610351562,250.05999755859375,225.63497924804688,6690000,,,,226.24587197206668,0.8534900440131992,1.4331489374701079,39.412517298767234,-269.77521329728245,-406.5363078099179,
2018-06-26,250.66000366210938,251.52999877929688,249.91000366210938,250.61000061035156,226.1312713623047,2968600,,,,226.2413778305074,0.5798498035459545,1.2624891106852774,31.86478228968427,-263.88099570143453,-334.8096840190683,
2018-06-27,251.27000427246094,252.72999572753906,248.42999267578125,248.52999877929688,224.25439453125,3433800,,,,226.16345691681101,0.20912895849696156,1.0518170802476143,27.32597365410163,-286.17173965046067,-273.2759828830592,
2018-06-28,247.3000030517578,249.60000610351562,246.6300048828125,248.8800048828125,225.62059020996094,2638400,,,,226.1421680263463,0.025279188643509087,0.8465095019267933,30.911520977448262,-207.19376284734867,-252.41549939974797,
