Date,Open,High,Low,Close,Adj Close,Volume,BB_U,BB_L,SMA_25,SMA_50,SMA_80,SMA_100,SMA_125,SMA_150,SMA_200,EMA_25,EMA_50,EMA_80,EMA_100,EMA_125,EMA_150,EMA_200,MACD,Signal,RSI,%K,%D,action
2022-05-11,265.0,269.92333984375,242.39999389648438,244.6666717529297,244.6666717529297,97224600,,,,,,,,,,244.6666717529297,244.6666717529297,244.6666717529297,244.6666717529297,244.6666717529297,244.6666717529297,244.6666717529297,0.0,0.0,,,,
2022-05-12,233.6666717529297,253.22000122070312,226.6666717529297,242.6666717529297,242.6666717529297,140313000,,,,,,,,,,244.51282559908356,244.58824038038068,244.6172890368803,244.62706779253364,244.63492572118366,244.64018168670452,244.64677125541726,-0.15954415954414003,-0.031908831908828005,,,,
2022-05-13,257.82666015625,262.45001220703125,250.52333068847656,256.5299987792969,256.5299987792969,92150700,,,,,,,,,,245.43722353602305,245.0565446313186,244.91143001817454,244.86276939623193,244.82373640464579,244.79766270779848,244.76501232530663,0.8231814515721396,0.13910922478736554,,,,
2022-05-16,255.72000122070312,256.586669921875,239.69667053222656,241.4566650390625,241.4566650390625,86098500,,,,,,,,,,245.13102672856456,244.91537288260267,244.8261271791841,244.79532178519887,244.77029082741433,244.753411083047,244.73209344683656,0.38131100292289943,0.1875495804144723,,,,
2022-05-17,249.1199951171875,254.82666015625,242.9499969482422,253.8699951171875,253.8699951171875,80236200,,,,,,,,,,245.80325506615097,245.2665345388609,245.04943256036938,244.9750182868224,244.91473057804566,244.87416054045286,244.82301784156644,1.021007939667271,0.35424125226503206,,,,
2022-05-18,248.17333984375,253.5,233.60333251953125,236.60333251953125,236.60333251953125,87811800,,,,,,,,,,245.095568716411,244.92680112633818,244.84088688034868,244.80924233103445,244.78280362473592,244.76461314944729,244.74122992791436,0.13316199411644902,0.3100254006353155,,,,
2022-05-19,235.6666717529297,244.6666717529297,231.3699951171875,236.47332763671875,236.47332763671875,90296700,,,,,,,,,,244.43231940258855,244.59529236203937,244.63428047927138,244.64417471332524,244.65090718048168,244.65479479828534,244.65896224342487,-0.5743320791647193,0.13315390467530852,,,,
2022-05-20,237.99667358398438,240.52667236328125,211.0,221.3000030517578,221.3000030517578,144973200,,,,,,,,,,242.65291045252465,243.68175160477344,244.05812548106118,244.1819138883437,244.28025790859718,244.3454598082651,244.42653478878142,-2.332499116813068,-0.35997669962236684,,,,
2022-05-23,218.33999633789062,226.65333557128906,212.68666076660156,224.96665954589844,224.96665954589844,88903500,,,,,,,,,,241.29242961355342,242.94782642599404,243.58673126043988,243.8014138023547,243.97369285522103,244.08878695710794,244.23290418934977,-3.3909024132521495,-0.9661618423483235,,,,
2022-05-24,217.8433380126953,217.97332763671875,206.85667419433594,209.3866729736328,209.3866729736328,89092500,,,,,,,,,,238.83814064125184,241.63170276119556,242.742285376815,243.11993378594434,243.4246925396403,243.6291563083202,243.88617552053668,-5.424340934309583,-1.8577976607405755,,,,
2022-05-25,207.9499969482422,223.10667419433594,207.6699981689453,219.60000610351562,219.60000610351562,92139300,,,,,,,,,,237.35828413834906,240.76771465697283,242.17087107377057,242.65419264371803,243.04652291367006,243.31088941819036,243.64452209350165,-6.140936096465822,-2.714425347885625,,,,
2022-05-26,220.47332763671875,239.55667114257812,217.8866729736328,235.91000366210938,235.91000366210938,106003200,,,,,,,,,,237.2468779478691,240.57721618658604,242.01628175496413,242.52064434705252,242.93324483031196,243.21286444128864,243.56756171109976,-5.3313064485070925,-3.237801568009919,,,,
2022-05-27,241.0833282470703,253.26666259765625,240.17666625976562,253.2100067138672,253.2100067138672,89295000,,,,,,,,,,238.47481092986897,241.0726197366755,242.29267002555432,242.73231488896965,243.09636803481285,243.34527692172017,243.66350643749547,-3.2561683732025415,-3.2414749290484437,,,,
2022-05-31,257.9466552734375,259.6000061035156,244.7433319091797,252.75332641601562,252.75332641601562,101914500,,,,,,,,,,239.5731582749572,241.53068666527707,242.55095783766447,242.93075076079234,243.24965308848275,243.46988684879693,243.753952407431,-1.6296709490950718,-2.9191141330577697,52.899551635749866,72.7748197071619,,
2022-06-01,251.72000122070312,257.32666015625,243.63999938964844,246.7899932861328,246.7899932861328,77247900,,,,,,,,,,240.12829942966303,241.736933983742,242.65562537960196,243.00717140485847,243.30584896463594,243.51386176849675,243.78416176940814,-0.8124853428579968,-2.4977883750178154,50.73011550971564,71.83112315126263,,
2022-06-02,244.1566619873047,264.2099914550781,242.06666564941406,258.3333435058594,258.3333435058594,93473100,,,,,,,,,,241.5286874355243,242.38777357284465,243.04272953086758,243.31065996131392,243.54438062402045,243.71014629481945,243.92892974688527,0.7578559370251128,-1.8466595126092298,55.05528742875076,89.75360409843066,78.11984898561839,
2022-06-03,243.22666931152344,247.79666137695312,233.4166717529297,234.51666259765625,234.51666259765625,112393800,,,,,,,,,,240.98930090953445,242.0791025542098,242.83220935967717,243.1365213996573,243.40108351249089,243.58837829883055,243.83527534739048,0.07963759739567422,-1.4614000906082492,43.325517029007365,48.22735584337912,69.93736103102414,
2022-06-06,244.35333251953125,244.86666870117188,234.35000610351562,238.27999877929688,238.27999877929688,84204600,,,,,,,,,,240.78089305336235,241.93011809244854,242.71980909843322,243.0403526348977,243.31979645323386,243.51806863632018,243.77999896362837,-0.15242844448960113,-1.1996057613845197,48.96590659829734,54.78902718408219,64.25666237529732,
